0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 4095510
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 4399366
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:28 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 6142130
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:33 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 3309078
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:37 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 3809830
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:44 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:47 +0900] "GET /webpro/webproject/book.html HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:47 +0900] "GET /webpro/webproject/images/book/book1.png HTTP/1.1" 200 1271890
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:47 +0900] "GET /webpro/webproject/images/book/book2.jpeg HTTP/1.1" 200 279400
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:47 +0900] "GET /webpro/webproject/images/book/book3.jpeg HTTP/1.1" 200 42592
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:50 +0900] "GET /webpro/webproject/movie.html HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:50 +0900] "GET /webpro/webproject/images/movie/movie1.jpg HTTP/1.1" 200 498922
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:50 +0900] "GET /webpro/webproject/css/moviestyle.css HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:50 +0900] "GET /webpro/webproject/images/movie/movie2.jpeg HTTP/1.1" 200 398407
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:50 +0900] "GET /webpro/webproject/images/movie/movie3.jpg HTTP/1.1" 200 540498
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:50 +0900] "GET /webpro/webproject/media/m1.mp4 HTTP/1.1" 206 4180596
